問題文,画像ファイル,選択肢1,選択肢2,選択肢3,選択肢4,画像の著作権表記
ゲームAPEXでバンガーロールのセリフ、「私は◯◯よ」〇〇に入る言葉はどれか,,大砲,戦車,アフロ,カービン,
ゲームAPEXブラットハウンドのアルティメットは？,,ハンティングビースト,ハンテングバースト,パンティングローション,ハンティングゴリラ,
三角形の内角の和は？,,180,360,540,どれでもない,
原作のサザエさんの未来予想図では、タラちゃんに妹がいます。名前は何でしょう,,ホタテちゃん,ヒトデちゃん,アワビちゃん,アサリちゃん,
今通ってる学校は？,,ITカレッジ沖縄,ITカレッジ横浜,ITカレッジ神奈川,ITカレッジ大きな輪,
中国語で手紙、日本語にすると何？,,トイレットペーパー,手紙,洋服,折り紙,
悪事を隠して知らないフリをするようすを「ねこばば」というが「ばば」とはどういう意味が,,うんこ,ババ抜き,おばさん,悪魔,
写真などで木々の間から光の帯が見えるのはどんな現象の一種？,,チンダル現象,ダイポールモード現象,ライトシャワー現象,ライトニングホッピングシャワー現象,
鬱鬱鬱鬱鬱鬱鬱鬱。。。あれ？鬱ってこういう字だっけ？となる現象をなんというか,,ゲシュタルト崩壊,ハイリゲンシュタットの遺書,ラーメン構造,不定期文脈現象,
ある音楽が頭にこびりついて離れなく現象をなんという？,,イヤーワーム,イヤースティック,イヤーフルート,イヤーループ,
